engine,scenario_id,route,decision_time_us,latency_ms,cost_usd,success,reward,agreement_with_rule,ctx_network_latency_ms,ctx_connectivity,ctx_cpu_available,ctx_priority,ctx_batch_size,ctx_cost_budget_usd,ctx_model_size_mb
RuleBased,86,cloud,3.059,143.16,0.0034,True,-20.149,True,100.94138908395092,1,6.985537944119384,3,4,5.0,22.5
RuleBased,87,cloud,3.424,104.862,0.0068,True,-23.384,True,65.95463744421056,1,16.405810546503616,3,8,1.0,15.1
RuleBased,88,cloud,3.221,204.374,0.0068,True,-27.694,True,126.20514540614654,1,14.584687209000306,4,8,1.0,22.5
RuleBased,89,cloud,3.182,221.516,0.0136,True,-42.554,True,151.7736816859814,1,21.84978341435442,4,16,1.0,9.4
RuleBased,90,cloud,3.219,197.47,0.0034,True,-20.32,True,141.01582715434074,1,18.505991798300357,3,4,0.5,22.5
RuleBased,91,cloud,3.172,219.987,0.0034,True,-31.676,True,179.8130188523127,1,9.168078104922525,3,4,2.0,22.5
RuleBased,92,cloud,3.208,210.248,0.0136,True,-39.535,True,153.94255447013398,1,5.81576679692024,2,16,1.0,22.5
RuleBased,93,cloud,3.28,192.387,0.0136,True,-32.951,True,73.08476874297546,1,17.106952620309464,2,16,2.0,9.4
RuleBased,94,cloud,3.209,197.942,0.0136,True,-39.261,True,127.1866176621878,1,22.536557644161654,4,16,1.0,15.1
RuleBased,95,cloud,3.331,143.528,0.0034,True,-11.599,True,71.84688268022647,1,14.181235737249299,2,4,2.0,22.5
RuleBased,96,cloud,3.124,243.918,0.0068,True,-30.795,True,176.57585930598037,1,18.366316451847787,2,8,1.0,22.5
RuleBased,97,cloud,3.216,110.632,0.0068,True,-23.548,True,78.69904063912648,1,20.961997538664818,3,8,1.0,9.4
RuleBased,98,cloud,3.365,123.782,0.0034,True,-17.03,True,83.69795046183015,1,24.29439509570801,4,4,5.0,15.1
RuleBased,99,cloud,3.261,236.777,0.0136,True,-41.468,True,178.42516604422534,1,18.510932494714734,4,16,5.0,9.4
DecisionTree,0,cloud,229.406,163.051,0.0034,True,-11.34,True,67.86798274459446,1,14.055346615087513,3,4,5.0,22.5
DecisionTree,1,cloud,76.987,232.851,0.0136,True,-38.18,True,132.17171822756723,1,19.071857833002483,4,16,1.0,9.4
DecisionTree,2,cloud,59.602,178.743,0.0068,True,-29.699,True,142.1306421019774,1,5.436203958982859,2,8,5.0,22.5
DecisionTree,3,cloud,51.912,137.998,0.0068,True,-31.688,True,97.13496887336447,1,11.738782849410832,4,8,0.5,22.5
DecisionTree,4,cloud,47.382,198.325,0.0068,True,-24.587,True,101.059185813738,1,15.263911812286256,3,8,2.0,9.4
DecisionTree,5,cloud,47.534,280.398,0.0034,True,-31.394,True,177.16914047769717,1,11.114581227287122,4,4,5.0,9.4
DecisionTree,6,cloud,44.946,169.065,0.0068,True,-29.072,True,113.8164976682798,1,20.656083468371847,4,8,2.0,15.1
DecisionTree,7,cloud,44.297,235.553,0.0034,True,-19.933,False,134.60001937251513,1,24.60979588733747,3,4,1.0,9.4
DecisionTree,8,cloud,44.274,299.259,0.0136,True,-52.496,True,194.40878857448246,1,14.510763984249103,4,16,5.0,9.4
DecisionTree,9,cloud,44.632,208.728,0.0136,True,-41.324,True,122.31696719412447,1,8.036399906067794,4,16,5.0,22.5
DecisionTree,10,cloud,43.061,222.424,0.0136,True,-50.783,True,189.41970351296146,1,24.718963679187482,4,16,2.0,22.5
DecisionTree,11,cloud,43.444,275.098,0.0068,True,-37.97,True,169.97030039898647,1,14.04179147901474,4,8,1.0,15.1
DecisionTree,12,cloud,42.826,249.026,0.0136,True,-43.307,True,174.77629997100973,1,3.20409156924787,4,16,5.0,15.1
DecisionTree,13,cloud,43.052,290.558,0.0136,True,-44.528,True,188.22645828109708,1,8.722431385802135,4,16,5.0,22.5
DecisionTree,14,cloud,43.63,254.062,0.0068,True,-29.199,True,149.58463151819953,1,3.739638986370445,2,8,5.0,22.5
DecisionTree,15,cloud,43.918,249.689,0.0034,True,-33.779,True,157.4777678978637,1,24.1688311944441,4,4,5.0,9.4
DecisionTree,16,cloud,52.422,198.09,0.0034,True,-29.749,True,147.2822359947109,1,22.871801055708946,4,4,1.0,15.1
DecisionTree,17,cloud,56.78,282.584,0.0136,True,-40.786,True,187.47210466939868,1,5.027709841763282,2,16,1.0,9.4
DecisionTree,18,cloud,44.055,165.356,0.0068,True,-26.148,True,68.12283652395904,1,3.9824996779919415,3,8,1.0,9.4
DecisionTree,19,cloud,43.661,143.127,0.0068,True,-25.597,True,97.0164101547539,1,15.827439670519821,3,8,1.0,15.1
DecisionTree,20,cloud,42.795,211.114,0.0136,True,-42.393,True,138.1901776021901,1,24.08210414021463,3,16,0.5,15.1
DecisionTree,21,cloud,43.164,240.497,0.0136,True,-42.477,True,150.28323102010955,1,23.571230076086632,3,16,5.0,15.1
DecisionTree,22,hybrid,43.733,126.618,0.002,True,-12.04,True,171.19924889713857,1,14.440680278479837,2,4,5.0,9.4
DecisionTree,23,cloud,43.071,105.623,0.0034,True,-10.654,True,57.706305943950795,1,10.634392576053692,2,4,5.0,15.1
DecisionTree,24,cloud,43.515,198.456,0.0068,True,-31.094,True,152.41917144917517,1,12.903088399566265,4,8,1.0,9.4
DecisionTree,25,cloud,42.976,230.398,0.0068,True,-32.781,True,138.68927454905256,1,7.553684260989475,3,8,0.5,22.5
DecisionTree,26,cloud,42.292,170.676,0.0034,True,-21.125,True,109.87356048168914,1,7.3008665460278825,2,4,5.0,22.5
